loan_id,gross_book_value,asset,begin_date,principal,end_date,account_id,currency_type,interest_rate_period,interest_type,interest_rate
16305374,864186.87,Plot Purchase Financing,9/12/18 0:00,664000,9/20/21 0:00,718695,KES,year,Declining Balance,18
16810167,38500,Emergency Loan,9/17/18 16:41,35000,10/17/18 0:00,715177,KES,year,Flat,120
101502503,34500,Logbook Loan,7/22/19 9:22,30000,1/20/27 17:01,717298,KES,year,Flat,60.8333333
101502505,77000,Logbook Loan,7/22/19 13:12,70000,7/21/24 18:18,8878694,KES,year,Flat,60.8333333
163872489,33000,Logbook Loan,10/28/19 12:25,30000,12/28/19 0:00,717298,KES,year,Flat,60.8333333
163872491,51750,Logbook Loan,10/28/19 15:51,45000,1/27/20 0:00,715929,KES,year,Flat,60.8333333
179707791,57500,Logbook Loan,11/20/19 15:42,50000,2/19/20 0:00,715329,KES,year,Flat,60.8333333
210445879,44000,Logbook Loan,1/2/20 16:12,40000,3/3/20 0:00,717298,KES,year,Flat,60.8333333
101502511,57500,Logbook Loan,7/23/19 13:23,50000,10/21/19 0:00,29968845,KES,year,Flat,60.8333333
101502513,18000,Emergency Loan,7/22/19 13:27,18000,1/20/22 16:00,26505392,KES,year,Flat,0
128821183,20000,Emergency Loan,9/2/19 11:17,20000,10/3/19 0:00,718633,KES,year,Flat,0
139931325,23000,Emergency Loan,9/25/19 15:42,23000,10/26/19 0:00,718633,KES,year,Flat,0
198127285,39900,Logbook Loan,12/4/19 16:38,38000,1/4/20 0:00,718633,KES,year,Flat,60.8333333
215701137,40950,Logbook Loan,1/6/20 16:28,39000,2/6/20 0:00,718633,KES,year,Flat,60.8333333
216224965,55000,Logbook Loan,1/13/20 15:48,50000,3/14/20 0:00,26505392,KES,year,Flat,60.8333333
102095893,32200,Logbook Loan,7/23/19 10:30,28000,10/21/19 0:00,713795,KES,year,Flat,60.8333333
102226669,8800,Emergency Loan,7/25/19 11:46,8000,8/25/19 0:00,51241375,KES,year,Flat,120
136595417,26400,Logbook Loan,9/16/19 14:23,24000,11/16/19 0:00,26505399,KES,year,Flat,60.8333333
156464123,86250,Logbook Loan,10/7/19 15:38,75000,1/6/20 0:00,713795,KES,year,Flat,60.8333333
163357259,50000,Emergency Loan,10/25/19 14:29,50000,11/25/19 0:00,724300,KES,year,Flat,0
178449079,27500,Logbook Loan,11/13/19 15:43,25000,1/13/20 0:00,26505399,KES,year,Flat,60.8333333
215701147,57750,Logbook Loan,1/6/20 15:43,55000,2/6/20 0:00,724300,KES,year,Flat,60.8333333
103500035,5775,Logbook Loan,7/29/19 15:19,5500,8/28/19 0:00,725339,KES,year,Flat,60.8333333
103500037,6300,Logbook Loan,7/29/19 15:39,6000,8/28/19 0:00,31626798,KES,year,Flat,60.8333333
118471819,10000,Emergency Loan,8/21/19 15:52,10000,9/21/19 0:00,716981,KES,year,Flat,0
128821201,5500,Emergency Loan,9/2/19 11:19,5500,10/3/19 0:00,725339,KES,year,Flat,0
163026703,23000,Logbook Loan,10/22/19 14:46,20000,4/22/27 22:25,725339,KES,year,Flat,60.8333333
215701173,110000,Logbook Loan,1/7/20 11:28,100000,3/8/20 0:00,5465568,KES,year,Flat,60.8333333
